시설명,소재지도로명주소,소재지지번주소,운영기관명,전화번호,급식장소,급식대상,급식시간,급식요일,운영시작일자,운영종료일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
선부경로식당,"경기도 안산시 단원구 선부광장1로 166, 201호 (선부동)",경기도 안산시 단원구 선부동 1071-9,안산선민회,031-417-1119,선부경로식당,가정형편 등 부득이한 사유로 식사를 거르는 60세 이상 저소득노인,중식(11:30-13:00),월+화+수+목+금,2000-12-01,,37.33282651,126.8078418,2025-07-03,3930000,경기도 안산시
중앙동무료급식소(사랑의집),경상남도 진주시 장대로 44,경상남도 진주시 장대동 55-19,한울타리봉사회,055-743-0532,중앙동무료급식소(사랑의집),결식노인,중식대체식(11:00),화+목(공휴일휴무),2009-01-01,,35.19544982,128.0878028,2025-07-03,5310000,경상남도 진주시
자비의집,경상남도 진주시 유곡죽전길 7-1,경상남도 진주시 유곡동 81,자비의집,055-748-6345,자비의집,결식노인,중식도시락(08:40~09:10),월+화+수+목+금+토,2003-01-01,,35.19394503,128.0668004,2025-07-03,5310000,경상남도 진주시
남양주시동부노인복지관,경기도 남양주시 수동면 비룡로 801-47,경기도 남양주시 수동면 운수리 361,남양주시동부노인복지관,031-559-5880,남양주시동부노인복지관,저소득 취약계층 어르신,11:00 - 13:00,월+화+수+목+금,,,37.70971791,127.3205119,2025-09-03,3990000,경기도 남양주시
화도노인복지관,경기도 남양주시 화도읍 비룡로 55번길 14,경기도 남양주시 화도읍 마석우리 551,화도노인복지관,031-595-9975,경기도 남양주시 수동면 비룡로55번길 14,저소득 취약계층 어르신,11:30 - 13:00,월+화+수+목+금,,,37.65815984,127.2995319,2025-09-03,3990000,경기도 남양주시
남양주시해피누리노인복지관,경기도 남양주시 늘을2로 67,경기도 남양주시 호평동 620,남양주시해피누리노인복지관,031-590-3000,남양주시해피누리노인복지관,저소득 취약계층 어르신,11:00 - 13:00,월+화+수+목+금,,,37.65887642,127.2422816,2025-09-03,3990000,경기도 남양주시
퇴계원교회,경기도 남양주시 퇴계원읍 도제원로 72-1,경기도 남양주시 퇴계원읍 퇴계원리 111-5,퇴계원교회,031-594-0030,퇴계원교회,저소득 취약계층 어르신,11:00 - 13:00,월+화+수+목+금,,,37.65396757,127.1461545,2025-09-03,3990000,경기도 남양주시
사릉중앙교회,경기도 남양주시 진건읍 사릉로442번길 7,경기도 남양주시 진건읍 용정리 771-20,사릉중앙교회,031-573-4004,사릉중앙교회,저소득 취약계층 어르신,11:00 - 13:00,화+수+목+금+토,,,37.65825045,127.1767165,2025-09-03,3990000,경기도 남양주시
충주댐효나눔복지센터,충청북도 단양군 매포읍 평동38길 8-4,충청북도 단양군 매포읍 평동리 1346,한국YWCA연합회후원회,043-421-1305,충주댐효나눔복지센터,65세이상 지역주민,중식(12:00-13:00),월+화+수+목+금,,,37.03152076,128.2961774,2024-08-22,4480000,충청북도 단양군
단양장애인복지관,충청북도 단양군 단양읍 별곡5길 5,충청북도 단양군 단양읍 별곡리 319,대한불교천태종복지재단,043-423-2828,단양장애인복지관,장애인복지관 이용인,중식(12:00-13:00),월+화+수+목+금,,,36.98530043,128.3686286,2024-08-22,4480000,충청북도 단양군
단양노인복지관,충청북도 단양군 단양읍 별곡1로 17,충청북도 단양군 단양읍 별곡리 311,대한불교천태종복지재단,043-421-7100,단양노인복지관,노인복지관 이용인,중식(12:00-13:00),월+화+수+목+금,,,36.98473681,128.3674437,2024-08-22,4480000,충청북도 단양군
양평군장애인복지관,경기도 양평군 양평읍 중앙로 111번길 36-1,경기도 양평군 양평읍 공흥리 310-4,양평군장애인복지관,031-773-9080,양평군장애인복지관(3층),저소득층 장애인,중식(11:30-12:30),월+화+수+목+금,2014-09-01,,37.49677474,127.5037771,2023-05-24,4170000,경기도 양평군
동구행복한어르신복지관,대전광역시 동구 동부로23(판암동),대전광역시 동구 판암동 518-3,동구행복한어르신복지관,042-282-5910,동구행복한어르신복지관,기초생활수급자+차상위+저소득 독거노인,중식(11:30-12:30),월~금,2016-01-01,,36.31941789,127.4563881,2025-08-14,3640000,대전광역시 동구
산내종합사회복지관,대전광역시 동구 산내로1352-25(낭월동),대전광역시 동구 낭월동 205,산내종합사회복지관,042-272-0591,산내종합사회복지관,기초생활수급자+차상위+저소득 독거노인,중식(12:00-13:00),월~금,2016-01-01,,36.28471287,127.4677017,2025-08-14,3640000,대전광역시 동구
판암사회복지관,"대전광역시 동구 옥천로152-9(판암동, 주공아파트3단지)",대전광역시 동구 판암동 314,판암사회복지관,042-285-1005,판암사회복지관,기초생활수급자+차상위+저소득 독거노인,중식(12:00-13:00),월~금,2016-01-01,,36.31656746,127.458544,2025-08-14,3640000,대전광역시 동구
동구정다운어르신복지관,대전광역시 동구 충정로53-30(가양동),대전광역시 동구 가양동 13-1,동구정다운어르신복지관,042-626-2736,동구정다운어르신복지관,기초생활수급자+차상위+저소득 독거노인,중식(12:00-13:00),월~금,2016-01-01,,36.34647922,127.4563412,2025-08-14,3640000,대전광역시 동구
새나루공동체,대전광역시 동구 선화로226(정동),대전광역시 동구 정동 7-3,새나루공동체,042-222-6393,새나루공동체,기초생활수급자+차상위+저소득 독거노인,석식(17:00-18:00)+중식(12:00-13:00),월~화+목~토,2016-01-01,,36.335358,127.4302544,2025-08-14,3640000,대전광역시 동구
시영종합사회복지관,광주광역시 서구 화정로 87 (쌍촌동),광주광역시 서구 쌍촌동 1228,시영종합사회복지관,062-373-0360,시영종합사회복지관,60세이상 수급자+차상위+저소득노인,중식(11:30~12:30),"월~금, 토(대체식)",1996-12-23,,35.14517327,126.8668315,2024-11-20,3600000,광주광역시 서구
쌍촌종합사회복지관,광주광역시 서구 쌍학로 47,광주광역시 서구 쌍촌동 1229,쌍촌종합사회복지관,062-375-0036,쌍촌종합사회복지관,60세이상 수급자+차상위+저소득노인,중식(11:50~12:30),"월~금, 토(대체식)",1995-03-01,,35.14738171,126.8688313,2024-11-20,3600000,광주광역시 서구
강화군노인복지관,인천광역시 강화군 강화읍 중앙로 17-16,인천광역시 강화군 강화읍 남산리 223-1,인천광역시 강화군청,032-933-1988,강화군노인복지관 급식소,결식노인,중식(12:00~13:00),월,2022-01-01,2022-12-31,37.74032126,126.4912085,2024-08-07,3570000,인천광역시 강화군
옴천면경로식당,전라남도 강진군 옴천면 개산중앙길 15-2,,옴천면분회경로당,061-434-9644,경로식당,65세이상 경로당 이용어르신,중식(12:00-13:00),월+화+수+목+금,,,34.74451158,126.7940225,2024-12-09,4920000,전라남도 강진군
다전경로식당,전라남도 담양군 담양읍 내다길 47,전라남도 담양군 담양읍 삼다리 474,다전경로식당,061-381-8410,다전경로식당,65세이상 저소득층,11시30분~12시30분,월+화+수+목+금,2024-04-01,2024-12-31,35.3242137900,126.9595749000,2024-12-23,4850000,전라남도 담양군
담주할머니경로식당,전라남도 담양군 담양읍 담주3길 20,전라남도 담양군 담양읍 담주리 61,담주할머니경로식당,061-383-1632,담주할머니경로식당,65세이상 저소득층,11시30분~12시30분,월+화+수+목+금,2024-01-02,2024-12-31,35.3213615600,126.9804719000,2024-12-23,4850000,전라남도 담양군
참봉사동심원,충청남도 청양군 청양읍 중앙로18길 32,충청남도 청양군 청양읍 읍내리 280-5,참봉사동심원,,참봉사동심원,결식노인,중식(12:00-13:00),화,2024-01-01,2024-12-31,36.45688307,126.8054066,2024-11-18,4590000,충청남도 청양군
서귀포종합사회복지관,제주특별자치도 서귀포시 태평로512번길 9,제주특별자치도 서귀포시 동홍동 353-1,서귀포종합사회복지관,064-762-0211,서귀포시노인복지회관,가정형편이 어렵거나 식사를 거를 우려가 있는  60세 이상 저소득 노인(기초생활수급자  차상위계층  저소득 독거노인),일반식(11:00~13:00),월+수+금,2025-01-01,2025-12-31,33.24995375,126.5742209,2025-01-01,6520000,제주특별자치도 서귀포시
동부종합사회복지관,제주특별자치도 서귀포시 성산읍 일출로 14-11,제주특별자치도 서귀포시 성산읍 고성리 1108,동부종합사회복지관,064-783-0364,동부종합사회복지관+표선지역+남원지역,가정형편이 어렵거나 식사를 거를 우려가 있는  60세 이상 저소득 노인(기초생활수급자  차상위계층  저소득 독거노인),일반식(09:00~16:00),연 6회,2025-01-01,2025-12-31,33.44668383,126.9132024,2025-01-01,6520000,제주특별자치도 서귀포시
어진샘노인종합복지관,부산광역시 해운대구 재반로12번길 16 (재송동),부산광역시 해운대구 재송동 100-9,어진샘노인종합복지관,051-784-8008,어진샘노인종합복지관,만60세이상 저소득 어르신,중식(11:30~13:00),월+화+수+목+금,2021-12-01,2025-12-31,,,2025-06-18,3330000,부산광역시 해운대구
기장읍경로식당,부산광역시 기장군 기장읍 차성동로 88-6,부산광역시 기장군 기장읍 동부리 283-4,(사)부산밥퍼나눔공동체,070-8838-0563,기장읍경로식당 2,만 60세 이상 기초생활수급자+만 60세 이상 차상위계층+저소득 독거노인,중식(11:20-12:30),월+화+수+목+금,2021-03-01,,35.24544307,129.2174871,2025-06-17,3400000,부산광역시 기장군
성생녹촌2리마을회,경기도 남양주시 화도읍 마치로 316,경기도 남양주시 화도읍 묵현리 372-52,성생녹촌2리마을회,031-511-3145,성생녹촌2리마을회,저소득 취약계층 어르신,11:00 - 13:00,월+화+수+목+금+토,,,37.65426388,127.2810593,2025-09-03,3990000,경기도 남양주시
사단법인 사랑해밥차,대구광역시 달서구 대명천로 28(성당동),대구광역시 달서구 성당동 202-41,(사)사랑해밥차,053-628-0828,두류공원 외,노인 및 취약계층,11:00~12:00,화+목,,,35.83907399,128.5561701,2025-09-01,3470000,대구광역시 달서구
어울림자원봉사센터,대구광역시 달서구 와룡로2길 42(본동),대구광역시 달서구 본동 1094-1,어울림나눔터,053-628-8204,허병원주차장 외,노인 및 취약계층,11:30~12:30,수+토,,,35.83391987,128.5400734,2025-09-01,3470000,대구광역시 달서구
우리집나눔센터,대구광역시 달서구 월곡로26길 15-4(상인동),대구광역시 달서구 상인동 1202-1,나눔공동체우리집,053-631-0691,나눔공동체 우리집 내 식당,노인 및 취약계층,10:30~13:00,화+수+금+토+일,,,35.80882042,128.549408,2025-09-01,3470000,대구광역시 달서구
해밀사회봉사단,대구광역시 달서구 두류남길 56(두류동),대구광역시 달서구 두류동 804-88,해밀사회봉사단,,해밀무료급식소,노인 및 취약계층,11:30~13:00,월+토,,,35.85728091,128.5714772,2025-09-01,3470000,대구광역시 달서구
월성종합사회복지관,대구광역시 달서구 학산로7길 39(월성동),대구광역시 달서구 월성동 273,월성종합사회복지관,053-634-4113,월성종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30~12:30,월+화+수+목+금,,,35.83157686,128.5298747,2025-09-01,3470000,대구광역시 달서구
학산종합사회복지관,대구광역시 달서구 월성로 77(월성동),대구광역시 달서구 월성동 86,학산종합사회복지관,053-634-7230,학산종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30~12:30,월+화+수+목+금,,,35.83004237,128.528337,2025-09-01,3470000,대구광역시 달서구
본동종합사회복지관,대구광역시 달서구 송현로 113(송현동),대구광역시 달서구 송현동 977-2,본동종합사회복지관,053-636-5567,본동종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30~12:30,월+화+수+목+금,,,35.82712717,128.5433255,2025-09-01,3470000,대구광역시 달서구
상인종합사회복지관,대구광역시 달서구 상화로 371(상인동),대구광역시 달서구 상인동 1563,상인종합사회복지관,053-641-1100,상인종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30~12:30,월+화+수+목+금,,,35.80867252,128.5522461,2025-09-01,3470000,대구광역시 달서구
성서종합사회복지관,대구광역시 달서구 신당로 56(신당동),대구광역시 달서구 신당동 1844,성서종합사회복지관,053-583-1284,성서종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30~12:30,월+화+수+목+금,,,35.85229651,128.4988252,2025-09-01,3470000,대구광역시 달서구
신당종합사회복지관,대구광역시 달서구 신당로 55(신당동),대구광역시 달서구 신당동 1846,신당종합사회복지관,053-581-8310,신당종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30~12:30,월+화+수+목+금,,,35.8538435,128.497451,2025-09-01,3470000,대구광역시 달서구
번동3단지종합사회복지관,서울특별시 강북구 오현로208,,기독교 대한성결교회,02-984-6777,번동3단지종합사회복지관,기초생활수급자+차상위 계층+저소득 독거어르신,중식(11:30-12:30),월+화+수+목+금+토,,,37.6296739,127.0411557,2025-08-30,3080000,서울특별시 강북구
번동5단지종합사회복지관,서울특별시 강북구 한천로115길 20,,사회복지법인 혜명복지원,02-981-5077,번동5단지종합사회복지관,기초생활수급자+차상위 계층+저소득 독거어르신,중식(11:30-12:00),월+화+수+목+금+토,,,37.63314995,127.0339148,2025-08-30,3080000,서울특별시 강북구
무극교회,충청북도 음성군 금왕읍 음성로 1112,충청북도 음성군 금왕읍 금석리 59,무극교회,043-877-0036,금왕읍 무극교회,결식노인+ 저소득 노인,중식(11:30-13:00),매주 목요일,2023-01-01,2023-12-31,36.98873406,127.6032625,2023-11-28,4470000,충청북도 음성군
삼호교회,충청북도 음성군 대소면 대화1길 22,충청북도 음성군 대소면 태생리 548-21,삼호교회,043-881-7235,대소면 삼호교회,결식노인+ 저소득 노인,중식(11:30-13:00),매주 토요일,2023-01-01,2023-12-31,36.96310413,127.4940185,2023-11-28,4470000,충청북도 음성군
음성군여성단체협의회,충청북도 음성군 음성읍 음성천서길 103,충청북도 음성군 음성읍 읍내리 817-12,음성군여성단체협의회,043-871-5933,음성읍 음성군여성회관,결식노인+ 저소득 노인,중식(11:30-13:00),매주 금요일,2023-01-01,2023-12-31,36.93144667,127.6919669,2023-11-28,4470000,충청북도 음성군
서부노인복지관,울산광역시 울주군 삼남면 서향교2길 50,,울주군시설관리공단,052-229-9100,서부노인복지관,독거노인,중식(11:30~12:30),월+화+수+목+금,,,35.556513,129.113172,2024-08-20,3730000,울산광역시 울주군
남부노인복지관,울산광역시 울주군 온양읍 온양로 256-6,,울주군시설관리공단,052-229-9130,남부노인복지관,독거노인,중식(11:40~12:50),월+화+수+목+금,,,35.407126,129.297953,2024-08-20,3730000,울산광역시 울주군
사회복지법인네트워크,인천광역시 부평구 경인로 963-1,인천광역시 부평구 부평동 606-16,사회복지법인네트워크,032-502-7600,사회복지법인네트워크,저소득층+결식노인,중식(12:00~13:00),월+화+수+목+금,1999-08-01,,37.48772872,126.7269154,2024-11-20,3540000,인천광역시 부평구
산곡노인문화센터,인천광역시 부평구 안남로 253번길34,인천광역시 부평구 산곡동 124-72(산곡동),산곡노인문화센터,032-635-7256,산곡노인문화센터,저소득층+결식노인,중식(11:20~13:00),월+화+수+목+금,2023-01-16,,37.50611731,126.7070963,2024-11-20,3540000,인천광역시 부평구
금호종합사회복지관,광주광역시 서구 운천로32번길 23 금호시영3단지아파트,광주광역시 서구 금호동 743-3,금호종합사회복지관,062-376-3017,금호종합사회복지관,65세이상 수급자+차상위+저소득노인,중식(11:00~12:00),"월~금, 토(대체식)",2002-12-23,,35.13715752,126.8621301,2024-11-20,3600000,광주광역시 서구
서구노인종합복지관,광주광역시 서구 군분2로 55 서구노인종합복지관,광주광역시 서구 화정동 23-231,서구노인종합복지관,062-447-4090,서구노인종합복지관,60세이상 수급자+차상위+저소득노인,중식(11:30~12:30),"월~금, 토(대체식)",2008-01-18,,35.15799296,126.8806161,2024-11-20,3600000,광주광역시 서구
서울시특별시지체장애인협회 성북구지회,서울특별시 성북구 화랑로13길 100,서울특별시 성북구 하월곡동 산2-1,서울시특별시지체장애인협회 성북구지회,02-914-2070,관내식당,성북구 거주 저소득 장애인,11:30-13:00,월+화+수+목+금,2025-01-01,2025-12-31,,,2025-02-27,3070000,서울특별시 성북구
한국교통장애인협회 성북구지회,서울특별시 성북구 동소문로 185,서울특별시 성북구 돈암동 48-24,한국교통장애인협회 성북구지회,,관내식당,성북구 거주 저소득 장애인,11:30-13:00,월+화+수+목+금,2025-01-01,2025-12-31,,,2025-02-27,3070000,서울특별시 성북구
해피데이,충청남도 아산시 온천대로 1496,충청남도 아산시 온천동 56-9,해피데이,,온양온천역 하부공간 (금요일),기초수급자 노인+차상위계층 노인+저소득 독거노인,중식(12:00~13:00),금,,,36.7804683,127.0034511,2025-05-12,4520000,충청남도 아산시
아산서부사회복지관,충청남도 아산시 도고면 도고면로 110번길 16,충청남도 아산시 도고면 기곡리 264-17,아산서부사회복지관,041-541-2020,아산서부사회복지관,기초수급자 노인+차상위계층 노인+저소득 독거노인,중식(12:00~13:00),월+화+수+목+금,,,36.7569541,126.8800547,2025-05-12,4520000,충청남도 아산시
아산시노인종합복지관,충청남도 아산시 남산로 10,충청남도 아산시 온천동 266-35,아산시노인종합복지관,041-544-1401,아산시노인종합복지관,기초수급자 노인+차상위계층 노인+저소득 독거노인,중식(12:00~13:00),월+화+수+목+금,,,36.78208492,126.9951151,2025-05-12,4520000,충청남도 아산시
온주종합사회복지관,충청남도 아산시 외암로 1420(읍내동),충청남도 아산시 읍내동 206,온주종합사회복지관,041-544-7411,온주종합사회복지관,기초수급자 노인+차상위계층 노인+저소득 독거노인,중식(12:00~13:00),월+화+수+목+금,,,36.76387873,127.0149345,2025-05-12,4520000,충청남도 아산시
경로식당(동강경로당),전라남도 나주시 동강면 인동길 25-14,,나주시니어클럽,061-334-7090,동강경로당,독거노인+결식노인,중식(12:00-13:00),월+화+수+목+금,,,,,2025-05-23,4830000,전라남도 나주시
경로식당(왕곡여자경로당),전라남도 나주시 왕곡면 본양길 65-54,,나주시니어클럽,061-334-7090,왕곡여자경로당,독거노인+결식노인,중식(12:00-13:00),월+화+수+목+금,,,,,2025-05-23,4830000,전라남도 나주시
경로식당(다시백촌경로당),전라남도 나주시 다시면 호장길 18,,나주시니어클럽,061-334-7090,다시호장경로당,독거노인+결식노인,중식(12:00-13:00),월+화+수+목+금,,,,,2025-05-23,4830000,전라남도 나주시
경로식당(봉황경로당),전라남도 나주시 봉황면 죽석길 1,,나주시니어클럽,061-334-7090,봉황경로당,독거노인+결식노인,중식(12:00-13:00),월+화+수+목+금,,,,,2025-05-23,4830000,전라남도 나주시
경로식당(산포마성경로당),전라남도 나주시 산포면 화지길 44,,나주시니어클럽,061-334-7090,산포화지경로당,독거노인+결식노인,중식(12:00-13:00),월+화+수+목+금,,,,,2025-05-23,4830000,전라남도 나주시
장흥읍 경로식당 무료급식소,전라남도 장흥군 장흥읍 흥성로 37-24,전라남도 장흥군 장흥읍 건산리 761,장흥종합사회복지관,061-864-4804,장흥종합사회복지관 내 지하1층 식당,60세이상+독거노인+결식우려노인+저소득층,중식(11:30-12:30),월+화+수+목+금,2024-02-19,,34.67551233,126.9070271,2025-05-21,4910000,전라남도 장흥군
관산읍 경로식당 무료급식소,전라남도 장흥군 관산읍 관산우회로 82,전라남도 장흥군 관산읍 옥당리 539-3,대한노인회 장흥군지회+관산읍행정복지센터,061-860-8432,관산읍 대표경로당(고읍분회),60세이상+독거노인+결식우려노인+저소득층,중식(11:30-12:30),월+화+수+목+금,2024-02-19,,34.56333623,126.935094,2025-05-21,4910000,전라남도 장흥군
대덕읍 경로식당 무료급식소,전라남도 장흥군 대덕읍 대대로 905,전라남도 장흥군 대덕읍 신월리 193-2,대한노인회 장흥군지회+대덕읍행정복지센터,061-860-8423,대덕읍 대표경로당(대덕남자경로당),60세이상+독거노인+결식우려노인+저소득층,중식(11:30-12:30),월+화+수+목+금,2024-02-19,,34.49876688,126.885579,2025-05-21,4910000,전라남도 장흥군
용산면 경로식당 무료급식소,전라남도 장흥군 용산면 접정길 8-1,전라남도 장흥군 용산면 접정리 385-4,대한노인회 장흥군지회+용산면행정복지센터,061-860-8734,용산면 대표경로당(용산중앙경로당),60세이상+독거노인+결식우려노인+저소득층,중식(11:30-12:30),월+화+수+목+금,2024-02-19,,34.61456513,126.9135765,2025-05-21,4910000,전라남도 장흥군
송산경로식당,전라남도 담양군 봉산면 기곡송산길 65,전라남도 담양군 봉산면 기곡리 167-1,송산경로식당,070-4941-7578,송산경로식당,65세이상 저소득층,11시30분~12시30분,월+화+수+목+금,2024-01-02,2024-12-31,35.2752571761,126.9774238506,2024-12-23,4850000,전라남도 담양군
신평경로식당,전라남도 담양군 봉산면 와우신평길 20-4,전라남도 담양군 봉산면 와우리 486-5,신평경로식당,061-383-0707,신평경로식당,65세이상 저소득층,11시30분~12시30분,월+화+수+목+금,2024-01-02,2024-12-31,35.2537561306,126.9310958912,2024-12-23,4850000,전라남도 담양군
독서골경로식당,전라남도 담양군 봉산면 독서골길 25,전라남도 담양군 봉산면 양지리 39,독서골경로식당,,독서골경로식당,65세이상 저소득층,11시30분~12시30분,월+화+수+목+금,2024-01-02,2024-12-31,35.2521543500,126.9493475000,2024-12-23,4850000,전라남도 담양군
와우여자경로식당,전라남도 담양군 봉산면 와우길 56,전라남도 담양군 봉산면 와우리 542,와우여자경로식당,061-382-6150,와우여자경로식당,65세이상 저소득층,11시30분~12시30분,월+화+수+목+금,2024-01-02,2024-12-31,35.2562996800,126.9344195000,2024-12-23,4850000,전라남도 담양군
하북산경로식당,전라남도 담양군 고서면 하북산길 3,전라남도 담양군 고서면 교산리 200-8,하북산경로식당,061-381-6398,하북산경로식당,65세이상 저소득층,11시30분~12시30분,월+화+수+목+금,2024-01-02,2024-12-31,35.2248290000,126.9855251000,2024-12-23,4850000,전라남도 담양군
잣정경로식당,전라남도 담양군 고서면 잣정길 67,전라남도 담양군 고서면 분향리 273-2,잣정경로식당,061-382-5941,잣정경로식당,65세이상 저소득층,11시30분~12시30분,월+화+수+목+금,2024-01-02,2024-12-31,35.2053352100,126.9804653000,2024-12-23,4850000,전라남도 담양군
성산경로식당,전라남도 담양군 고서면 성월성산길 20,전라남도 담양군 고서면 성월리 51-1,성산경로식당,070-7750-6916,성산경로식당,65세이상 저소득층,11시30분~12시30분,월+화+수+목+금,2024-01-02,2024-12-31,35.2184050800,126.9788375000,2024-12-23,4850000,전라남도 담양군
동산촌경로식당,전라남도 담양군 고서면 동산촌길 90,전라남도 담양군 고서면 동운리 765,동산촌경로식당,061-381-5647,동산촌경로식당,65세이상 저소득층,11시30분~12시30분,월+화+수+목+금,2024-01-02,2024-12-31,35.2358163812,126.9738664435,2024-12-23,4850000,전라남도 담양군
취성당경로식당,전라남도 담양군 고서면 가사문학로 312,전라남도 담양군 고서면 동운리 1588,취성당경로식당,070-4941-7503,취성당경로식당,65세이상 저소득층,11시30분~12시30분,월+화+수+목+금,2024-01-02,2024-12-31,35.2238802788,126.9723089590,2024-12-23,4850000,전라남도 담양군
원류동경로식당,전라남도 담양군 고서면 원류동길 35-2,전라남도 담양군 고서면 원강리 424-1,원류동경로식당,070-7750-4623,원류동경로식당,65세이상 저소득층,11시30분~12시30분,월+화+수+목+금,2024-01-02,2024-12-31,35.2434453000,126.9527608000,2024-12-23,4850000,전라남도 담양군
성북장애인단체연합회,서울특별시 성북구 오패산로3길 95,서울특별시 성북구 하월곡동 70-123,성북장애인단체연합회,02-942-7976,관내식당,성북구 거주 저소득 장애인,11:30-13:00,월+화+수+목+금,2025-01-01,2025-12-31,,,2025-02-27,3070000,서울특별시 성북구
강동종합사회복지관,서울특별시 강동구 진황도로23길 7,서울특별시 강동구 천호3동 555,강동종합사회복지관,02-0475-4585,강동종합사회복지관,60세 이상의 결식노인,중식(11:30-12:30),월+화+수+목+금,2000-03-01,,37.54004284,127.1297914,2023-08-31,3240000,서울특별시 강동구
명성복지재단 가나안의 집,서울특별시 강동구 천중로35길 73-7,서울특별시 강동구 천호1동 77-1,명성복지재단 가나안의 집,02-0474-6900,명성복지재단 가나안의 집,60세 이상의 결식노인,중식(11:30-12:30),월+화+수+목+금,2004-06-01,,37.54459763,127.1379691,2023-08-31,3240000,서울특별시 강동구
해공노인복지관,서울특별시 강동구 천중로17길 42-16,서울특별시 강동구 천호2동 302-4,해공노인복지관,02-0478-0601,해공노인복지관,60세 이상의 결식노인,중식(11:30-12:30),월+화+수+목+금,2011-09-01,,37.54620984,127.1317001,2023-08-31,3240000,서울특별시 강동구
삼천포노인복지관,경상남도 사천시 선구1길 7,경상남도 사천시 선구동 115-2,대한적십자사 사천시지구,055-833-1906,삼천포노인복지관,65세이상 노인,11:10,월+화+수+목+금,,,,,2024-11-22,5340000,경상남도 사천시
서부노인복지관,경상남도 사천시 곤양면 곤북로 20,경상남도 사천시 곤양면 서정리 998-1,곤양면새마을부녀회,055-855-4562,서부노인복지관,65세이상 노인,11:30,화,,,,,2024-11-22,5340000,경상남도 사천시
삼한평생노인대학,경상남도 사천시 새동네1길 72(선구동),경상남도 사천시 선구동 227-12,삼한평생노인대학,055-832-9553,삼한평생노인대학,65세이상 노인,11:40,목,,,,,2024-11-22,5340000,경상남도 사천시
늘푸른노인대학,경상남도 사천시 용현면 용치로 12,경상남도 사천시 용현면 송지리 179-8,늘푸른노인대학,055-834-0111,늘푸른노인대학,65세이상 노인,11:50,화,,,,,2024-11-22,5340000,경상남도 사천시
부평구노인복지관,인천광역시 부평구 굴포로 114,인천광역시 부평구 삼산동 441-2,부평구노인복지관,032-526-4447,부평구노인복지관,저소득층+결식노인,중식(11:40~12:30),월+화+수+목+금,1997-02-25,,37.51115251,126.733802,2024-11-20,3540000,인천광역시 부평구
갈산종합사회복지관,인천광역시 부평구 주부토로 206,인천광역시 부평구 갈산동 360,갈산종합사회복지관,032-515-8187,갈산종합사회복지관,저소득층+결식노인,중식(10:40~11:30),월+화+수+목+금,2004-07-01,,37.51297827,126.728407,2024-11-20,3540000,인천광역시 부평구
YWCA삼산종합사회복지관,인천광역시 부평구 평천로 447,인천광역시 부평구 삼산동 157,삼산종합사회복지관,032-529-8607,삼산종합사회복지관 무료급식소,저소득층+결식노인,중식(11:30~12:30),월+화+수+목+금,2004-01-02,,37.51796068,126.7404915,2024-11-20,3540000,인천광역시 부평구
월곡종합사회복지관,서울특별시 성북구 오패산로16길 23,서울특별시 성북구 하월곡동 222-5,월곡종합사회복지관,02-911-5511,경로식당,60세이상 저소득어르신,11:20-12:40,월+화+수+목+금,2025-01-01,2025-12-31,,,2025-02-27,3070000,서울특별시 성북구
나주시노인복지관,전라남도 나주시 예향로 3874(영산동),전라남도 나주시 영산동 155-2,나주시노인복지관,061-334-7726,나주시노인복지관,독거노인+결식노인,중식(12:00-13:00),월+화+수+목+금,,,,,2025-05-23,4830000,전라남도 나주시
경로식당(공산경로당),전라남도 나주시 공산면 덕음로 9-8,,나주시니어클럽,061-334-7090,공산경로당,독거노인+결식노인,중식(12:00-13:00),월+화+수+목+금,,,,,2025-05-23,4830000,전라남도 나주시
운봉종합사회복지관,부산광역시 해운대구 신반송로 20 (반송동),부산광역시 해운대구 반송동 58-3,운봉종합사회복지관,051-543-2431,운봉종합사회복지관,만60세이상 저소득 어르신,중식(11:30~12:30),월+화+수+목+금,2021-01-01,2025-12-31,35.22861078,129.1573931,2025-06-18,3330000,부산광역시 해운대구
반석종합사회복지관,부산광역시 해운대구 신반송로 159 (반송동),부산광역시 해운대구 반송동 880,반석종합사회복지관,051-542-0196,반석종합사회복지관,만60세이상 저소득 어르신,중식(11:50~12:10),월+화+수+목+금,2021-01-01,2025-12-31,35.22850858,129.1625125,2025-06-18,3330000,부산광역시 해운대구
너나들이경로식당,경기도 안산시 단원구 와동로 118 (와동),경기도 안산시 단원구 와동 111-4,와동복지관,031-475-4321,와동종합복지관,가정형편 등 부득이한 사유로 식사를 거르는 60세 이상 저소득노인,중식(11:30-13:00),월+화+수+목+금,2014-04-01,,37.34050133,126.8272109,2025-07-03,3930000,경기도 안산시
